               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13001,            0.085573,             0.04911,                   0,                   0,                   0,                   0,             0.12974,            0.057836,            0.049798,              0.0991,              0.0001,              0.0001
                   1,              0.1312,            0.076138,            0.049822,          0.00045945,           0.0010965,          0.00023272,          4.6543e-05,             0.12922,            0.058988,            0.049124,            0.097299,          0.00029881,          0.00029881
                   2,             0.12825,            0.082078,            0.048361,            0.000668,           0.0016447,          0.00033718,          6.7717e-05,             0.12857,            0.060433,            0.048234,            0.095496,          0.00049604,          0.00049604
                   3,             0.12846,            0.074489,            0.048121,          0.00084069,            0.002193,           0.0004266,          7.4874e-05,             0.12776,            0.062131,            0.047075,            0.093692,          0.00069168,          0.00069168
                   4,             0.12921,            0.086204,            0.046747,          0.00058072,           0.0016447,          0.00029477,          6.0037e-05,             0.12679,            0.064321,            0.045737,            0.091886,          0.00088574,          0.00088574
                   5,             0.12717,            0.078521,            0.044881,          0.00017416,          0.00054825,          9.6965e-05,          3.8786e-05,             0.12569,             0.06714,            0.044255,            0.090078,           0.0010782,           0.0010782
                   6,             0.12608,            0.093105,             0.04348,          0.00030581,           0.0010965,          0.00016216,          6.4866e-05,             0.12454,            0.070273,            0.042629,            0.088269,           0.0012691,           0.0012691
                   7,             0.12616,            0.099635,            0.041654,          0.00079808,           0.0032895,           0.0004066,            9.59e-05,             0.12358,            0.073133,            0.040948,            0.086458,           0.0014584,           0.0014584
                   8,             0.12366,            0.086875,            0.040463,          0.00087489,           0.0038377,          0.00044398,          0.00010149,               0.123,            0.074614,            0.040106,            0.084646,           0.0016461,           0.0016461
                   9,             0.12604,            0.098937,            0.039735,           0.0012531,           0.0060307,          0.00063995,          0.00012143,             0.12206,            0.076277,            0.039128,            0.082832,           0.0018323,           0.0018323
                  10,             0.12229,             0.10849,            0.037994,           0.0019632,            0.010417,           0.0010192,          0.00021824,             0.12133,            0.077432,            0.038167,            0.081017,           0.0020168,           0.0020168
                  11,              0.1233,             0.11015,            0.037665,           0.0025948,            0.015351,           0.0016322,          0.00044423,             0.12072,            0.078309,            0.037222,              0.0792,           0.0021998,           0.0021998
                  12,             0.12138,            0.094232,             0.03537,           0.0025458,            0.016447,           0.0013496,          0.00029443,             0.11996,            0.079501,             0.03633,            0.077381,           0.0023812,           0.0023812
