               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12916,             0.06525,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058879,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.13036,             0.05683,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058857,                   0,            0.097298,           0.0002978,           0.0002978
                   2,             0.12824,            0.055943,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059133,                   0,            0.095493,          0.00049267,          0.00049267
                   3,             0.12738,            0.053476,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059424,                   0,            0.093685,           0.0006846,           0.0006846
                   4,             0.12835,            0.054849,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059744,                   0,            0.091874,           0.0008736,           0.0008736
                   5,             0.12638,            0.056311,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060226,                   0,             0.09006,           0.0010597,           0.0010597
                   6,             0.12537,            0.063455,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060901,                   0,            0.088243,           0.0012428,           0.0012428
                   7,             0.12557,            0.065172,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062154,                   0,            0.086423,            0.001423,            0.001423
                   8,             0.12363,            0.059021,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062583,                   0,              0.0846,           0.0016003,           0.0016003
                   9,             0.12488,            0.068122,                   0,                   0,                   0,                   0,                   0,                   0,           0.0063275,                   0,            0.082775,           0.0017746,           0.0017746
                  10,             0.12205,            0.068631,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064135,                   0,            0.080946,            0.001946,            0.001946
                  11,             0.12332,            0.070209,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065536,                   0,            0.079114,           0.0021145,           0.0021145
                  12,             0.12141,            0.070617,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066444,                   0,             0.07728,             0.00228,             0.00228
                  13,             0.12208,            0.068331,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067765,                   0,            0.075443,           0.0024426,           0.0024426
                  14,             0.12137,            0.065919,                   0,                   0,                   0,                   0,                   0,                   0,            0.006909,                   0,            0.073602,           0.0026023,           0.0026023
                  15,             0.12132,            0.066518,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070725,                   0,            0.071759,            0.002759,            0.002759
                  16,             0.11865,            0.064039,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072898,                   0,            0.069913,           0.0029128,           0.0029128
                  17,             0.11774,            0.077854,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075788,                   0,            0.068064,           0.0030637,           0.0030637
                  18,             0.11841,            0.071131,                   0,                   0,                   0,                   0,                   0,                   0,             0.00798,                   0,            0.066212,           0.0032116,           0.0032116
                  19,             0.11722,             0.07132,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083511,                   0,            0.064357,           0.0033566,           0.0033566
                  20,             0.11676,            0.069582,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087692,                   0,            0.062499,           0.0034987,           0.0034987
                  21,             0.11752,            0.069675,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091577,                   0,            0.060638,           0.0036378,           0.0036378
                  22,             0.11619,            0.067978,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096598,                   0,            0.058774,            0.003774,            0.003774
                  23,             0.11291,            0.069464,                   0,                   0,                   0,                   0,                   0,                   0,            0.010235,                   0,            0.056907,           0.0039073,           0.0039073
                  24,             0.11405,            0.062949,                   0,                   0,                   0,                   0,                   0,                   0,             0.01086,                   0,            0.055038,           0.0040376,           0.0040376
                  25,             0.11668,             0.06931,                   0,                   0,                   0,                   0,                   0,                   0,            0.011705,                   0,            0.053165,            0.004165,            0.004165
                  26,             0.11202,            0.066894,                   0,                   0,                   0,                   0,                   0,                   0,            0.013148,                   0,            0.051289,           0.0042895,           0.0042895
                  27,             0.11573,            0.071136,                   0,                   0,                   0,                   0,                   0,                   0,            0.013148,                   0,            0.049411,            0.004411,            0.004411
                  28,             0.11554,            0.072821,                   0,                   0,                   0,                   0,                   0,                   0,            0.015103,                   0,             0.04753,           0.0045296,           0.0045296
                  29,             0.11382,            0.067969,                   0,                   0,                   0,                   0,                   0,                   0,            0.019066,                   0,            0.045645,           0.0046453,           0.0046453
                  30,             0.11251,            0.079266,                   0,                   0,                   0,                   0,                   0,                   0,            0.019066,                   0,            0.043758,            0.004758,            0.004758
                  31,             0.11094,            0.071625,                   0,                   0,                   0,                   0,                   0,                   0,            0.023854,                   0,            0.041868,           0.0048678,           0.0048678
                  32,              0.1151,            0.074428,                   0,                   0,                   0,                   0,                   0,                   0,            0.031085,                   0,            0.039975,           0.0049747,           0.0049747
                  33,             0.11175,            0.066266,                   0,                   0,                   0,                   0,                   0,                   0,            0.031085,                   0,            0.038079,           0.0050786,           0.0050786
                  34,             0.11152,            0.070528,                   0,                   0,                   0,                   0,                   0,                   0,             0.03738,                   0,             0.03618,           0.0051796,           0.0051796
                  35,             0.10805,            0.072629,                   0,                   0,                   0,                   0,                   0,                   0,             0.03816,                   0,            0.034278,           0.0052777,           0.0052777
                  36,             0.10857,            0.064945,                   0,                   0,                   0,                   0,                   0,                   0,             0.03816,                   0,            0.032373,           0.0053728,           0.0053728
                  37,             0.11084,            0.057376,                   0,                   0,                   0,                   0,                   0,                   0,            0.039731,                   0,            0.030465,            0.005465,            0.005465
                  38,              0.1109,            0.070531,                   0,                   0,                   0,                   0,                   0,                   0,            0.038479,                   0,            0.028554,           0.0055543,           0.0055543
                  39,             0.10892,            0.061383,                   0,                   0,                   0,                   0,                   0,                   0,            0.038479,                   0,            0.026641,           0.0056406,           0.0056406
                  40,             0.10728,            0.069107,                   0,                   0,                   0,                   0,                   0,                   0,            0.037762,                   0,            0.024724,            0.005724,            0.005724
                  41,             0.10645,            0.062187,                   0,                   0,                   0,                   0,                   0,                   0,            0.041035,                   0,            0.022804,           0.0058045,           0.0058045
                  42,             0.10148,            0.067674,                   0,                   0,                   0,                   0,                   0,                   0,            0.041035,                   0,            0.020882,            0.005882,            0.005882
                  43,             0.10844,             0.07288,                   0,                   0,                   0,                   0,                   0,                   0,            0.044822,                   0,            0.018957,           0.0059566,           0.0059566
