               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12916,             0.06525,                   0,          0.00064516,            0.015873,          0.00032864,          5.9911e-05,             0.12632,            0.049325,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.13036,             0.05683,                   0,          0.00064516,            0.015873,          0.00032896,          5.9907e-05,             0.12585,            0.049467,                   0,            0.097298,           0.0002978,           0.0002978
                   2,             0.12824,            0.055943,                   0,          0.00064516,            0.015873,          0.00032993,          5.9975e-05,             0.12515,            0.049995,                   0,            0.095493,          0.00049267,          0.00049267
                   3,             0.12738,            0.053476,                   0,          0.00086022,            0.021164,          0.00044586,          6.0896e-05,              0.1243,            0.050767,                   0,            0.093685,           0.0006846,           0.0006846
                   4,             0.12835,            0.054849,                   0,           0.0017204,            0.042328,          0.00090851,          0.00011326,             0.12335,            0.051676,                   0,            0.091874,           0.0008736,           0.0008736
                   5,             0.12638,            0.056311,                   0,           0.0017204,            0.042328,          0.00091996,          0.00014268,             0.12216,            0.052903,                   0,             0.09006,           0.0010597,           0.0010597
                   6,             0.12537,            0.063455,                   0,           0.0016129,            0.039683,          0.00085973,           0.0001471,             0.12086,            0.054404,                   0,            0.088243,           0.0012428,           0.0012428
                   7,             0.12557,            0.065172,                   0,           0.0010753,            0.026455,          0.00056248,          0.00013415,              0.1199,            0.055437,                   0,            0.086423,            0.001423,            0.001423
                   8,             0.12363,            0.059021,                   0,           0.0012903,            0.031746,          0.00068191,          0.00014064,             0.11939,             0.05613,                   0,              0.0846,           0.0016003,           0.0016003
                   9,             0.12488,            0.068122,                   0,           0.0013978,            0.034392,          0.00074469,           0.0001536,             0.11895,            0.056609,                   0,            0.082775,           0.0017746,           0.0017746
                  10,             0.12205,            0.068631,                   0,           0.0019355,            0.047619,           0.0010349,          0.00020936,             0.11858,             0.05702,                   0,            0.080946,            0.001946,            0.001946
                  11,             0.12332,            0.070209,                   0,           0.0023656,            0.058201,           0.0012991,          0.00020765,             0.11818,            0.057396,                   0,            0.079114,           0.0021145,           0.0021145
                  12,             0.12141,            0.070617,                   0,            0.001828,            0.044974,           0.0010291,          0.00022864,             0.11768,            0.058105,                   0,             0.07728,             0.00228,             0.00228
                  13,             0.12208,            0.068331,                   0,           0.0021505,             0.05291,           0.0011939,          0.00024247,             0.11725,            0.058482,                   0,            0.075443,           0.0024426,           0.0024426
                  14,             0.12137,            0.065919,                   0,           0.0032697,            0.079365,           0.0023636,          0.00048788,             0.11693,            0.058537,                   0,            0.073602,           0.0026023,           0.0026023
                  15,             0.12132,            0.066518,                   0,           0.0039785,            0.097884,           0.0024036,          0.00049479,             0.11698,            0.058111,                   0,            0.071759,            0.002759,            0.002759
                  16,             0.11865,            0.064039,                   0,           0.0039785,            0.097884,           0.0022118,           0.0004893,             0.11606,            0.059066,                   0,            0.069913,           0.0029128,           0.0029128
                  17,             0.11774,            0.077854,                   0,           0.0053763,             0.13228,           0.0033451,          0.00069564,             0.11564,            0.059166,                   0,            0.068064,           0.0030637,           0.0030637
                  18,             0.11841,            0.071131,                   0,           0.0064516,             0.15873,           0.0038322,          0.00095789,             0.11498,             0.05913,                   0,            0.066212,           0.0032116,           0.0032116
                  19,             0.11722,             0.07132,                   0,           0.0074194,             0.18254,           0.0049124,           0.0010948,             0.11456,            0.058944,                   0,            0.064357,           0.0033566,           0.0033566
                  20,             0.11676,            0.069582,                   0,            0.010108,             0.24868,           0.0074054,           0.0016493,             0.11372,            0.059352,                   0,            0.062499,           0.0034987,           0.0034987
                  21,             0.11752,            0.069675,                   0,            0.011505,             0.28307,            0.010487,            0.002206,             0.11368,            0.058974,                   0,            0.060638,           0.0036378,           0.0036378
                  22,             0.11619,            0.067978,                   0,            0.015129,             0.29365,            0.014459,           0.0036386,             0.11337,             0.05867,                   0,            0.058774,            0.003774,            0.003774
                  23,             0.11291,            0.069464,                   0,            0.046535,            0.084656,            0.020943,           0.0055268,             0.11302,            0.058192,                   0,            0.056907,           0.0039073,           0.0039073
                  24,             0.11405,            0.062949,                   0,            0.045962,             0.13228,            0.021165,           0.0051552,              0.1126,             0.05789,                   0,            0.055038,           0.0040376,           0.0040376
                  25,             0.11668,             0.06931,                   0,            0.082625,            0.079365,             0.02789,           0.0064509,              0.1123,            0.057206,                   0,            0.053165,            0.004165,            0.004165
                  26,             0.11202,            0.066894,                   0,            0.082913,            0.082011,            0.034345,            0.008558,             0.11186,            0.056503,                   0,            0.051289,           0.0042895,           0.0042895
                  27,             0.11573,            0.071136,                   0,            0.082913,            0.082011,            0.034345,            0.008558,             0.11186,            0.056503,                   0,            0.049411,            0.004411,            0.004411
                  28,             0.11554,            0.072821,                   0,            0.075875,             0.13492,            0.040019,            0.009153,             0.11166,            0.055985,                   0,             0.04753,           0.0045296,           0.0045296
                  29,             0.11382,            0.067969,                   0,            0.090799,             0.17725,            0.049765,            0.011488,             0.11088,            0.055234,                   0,            0.045645,           0.0046453,           0.0046453
                  30,             0.11251,            0.079266,                   0,            0.090799,             0.17725,            0.049765,            0.011488,             0.11088,            0.055234,                   0,            0.043758,            0.004758,            0.004758
                  31,             0.11094,            0.071625,                   0,            0.085846,             0.25132,            0.055977,            0.011731,             0.11064,            0.055198,                   0,            0.041868,           0.0048678,           0.0048678
                  32,              0.1151,            0.074428,                   0,            0.084153,             0.17725,              0.0558,            0.010345,             0.10871,              0.0573,                   0,            0.039975,           0.0049747,           0.0049747
                  33,             0.11175,            0.066266,                   0,            0.084153,             0.17725,              0.0558,            0.010345,             0.10871,              0.0573,                   0,            0.038079,           0.0050786,           0.0050786
                  34,             0.11152,            0.070528,                   0,             0.10556,             0.20899,            0.067196,            0.014296,             0.10746,            0.058923,                   0,             0.03618,           0.0051796,           0.0051796
                  35,             0.10805,            0.072629,                   0,               0.122,              0.2037,            0.078499,            0.016206,             0.10736,            0.060188,                   0,            0.034278,           0.0052777,           0.0052777
                  36,             0.10857,            0.064945,                   0,               0.122,              0.2037,            0.078499,            0.016206,             0.10736,            0.060188,                   0,            0.032373,           0.0053728,           0.0053728
                  37,             0.11084,            0.057376,                   0,             0.10119,             0.30688,            0.089579,            0.020637,             0.10592,            0.061031,                   0,            0.030465,            0.005465,            0.005465
                  38,              0.1109,            0.070531,                   0,             0.12603,             0.19312,             0.10112,            0.022801,             0.10463,            0.060136,                   0,            0.028554,           0.0055543,           0.0055543
                  39,             0.10892,            0.061383,                   0,             0.12603,             0.19312,             0.10112,            0.022801,             0.10463,            0.060136,                   0,            0.026641,           0.0056406,           0.0056406
                  40,             0.10728,            0.069107,                   0,             0.14486,             0.17196,            0.096092,            0.023681,             0.10455,             0.05952,                   0,            0.024724,            0.005724,            0.005724
                  41,             0.10645,            0.062187,                   0,             0.14912,             0.22487,             0.10734,            0.028173,             0.10131,            0.060516,                   0,            0.022804,           0.0058045,           0.0058045
                  42,             0.10148,            0.067674,                   0,             0.14912,             0.22487,             0.10734,            0.028173,             0.10131,            0.060516,                   0,            0.020882,            0.005882,            0.005882
